Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
182,0.9991763234138489,0.7298415303230286,0.24432283639907837,"[32, 16, 8, 8]",0.3,0.001,1e-05,450,tanh,adam,15
183,11.989755630493164,3.335026979446411,-8.067853927612305,"[32, 16, 8, 8]",0.3,0.0001,0.0001,450,tanh,adam,15
184,11.567639350891113,3.249793291091919,-7.7486066818237305,"[32, 16, 8, 8]",0.3,0.0001,1e-05,450,tanh,adam,15
185,0.8728165030479431,0.724546492099762,0.3398887515068054,"[32, 16, 8, 8]",0.2,0.001,0.0001,450,tanh,sgd,15
186,0.8844715356826782,0.6697448492050171,0.331074059009552,"[32, 16, 8, 8]",0.2,0.001,1e-05,450,tanh,sgd,15
187,0.7868436574935913,0.6627643704414368,0.40491002798080444,"[32, 16, 8, 8]",0.2,0.0001,0.0001,450,tanh,sgd,15
188,1.1304818391799927,0.7559380531311035,0.14501643180847168,"[32, 16, 8, 8]",0.2,0.0001,1e-05,450,tanh,sgd,15
189,1.1625863313674927,0.7980499863624573,0.120735764503479,"[32, 16, 8, 8]",0.3,0.001,0.0001,450,tanh,sgd,15
190,0.8093133568763733,0.6800910234451294,0.3879162073135376,"[32, 16, 8, 8]",0.3,0.001,1e-05,450,tanh,sgd,15
191,0.9145773649215698,0.673058032989502,0.308305025100708,"[32, 16, 8, 8]",0.3,0.0001,0.0001,450,tanh,sgd,15
192,0.850911557674408,0.6776237487792969,0.3564555048942566,"[32, 16, 8, 8]",0.3,0.0001,1e-05,450,tanh,sgd,15
193,1.2739975452423096,0.8576871752738953,0.03647547960281372,"[16, 16, 8, 8]",0.2,0.001,0.0001,250,relu,adam,15
194,1.5066407918930054,0.9878014326095581,-0.13947272300720215,"[16, 16, 8, 8]",0.2,0.001,1e-05,250,relu,adam,15
195,12.523787498474121,3.334338665008545,-8.471741676330566,"[16, 16, 8, 8]",0.2,0.0001,0.0001,250,relu,adam,15
196,9.169394493103027,2.813828706741333,-5.934814453125,"[16, 16, 8, 8]",0.2,0.0001,1e-05,250,relu,adam,15
197,1.8932908773422241,1.2060067653656006,-0.4318962097167969,"[16, 16, 8, 8]",0.3,0.001,0.0001,250,relu,adam,15
198,2.3528826236724854,1.308198094367981,-0.7794854640960693,"[16, 16, 8, 8]",0.3,0.001,1e-05,250,relu,adam,15
199,14.352302551269531,3.6135849952697754,-9.85464859008789,"[16, 16, 8, 8]",0.3,0.0001,0.0001,250,relu,adam,15
200,12.398488998413086,3.366251230239868,-8.376978874206543,"[16, 16, 8, 8]",0.3,0.0001,1e-05,250,relu,adam,15
201,2.401197910308838,1.390992283821106,-0.8160263299942017,"[16, 16, 8, 8]",0.2,0.001,0.0001,250,relu,sgd,15
202,1.4720118045806885,1.0076876878738403,-0.11328279972076416,"[16, 16, 8, 8]",0.2,0.001,1e-05,250,relu,sgd,15
203,2.032888889312744,1.3045448064804077,-0.5374741554260254,"[16, 16, 8, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
204,2.459131956100464,1.3793728351593018,-0.8598419427871704,"[16, 16, 8, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
