Trial,MSE,MAE,R2,Convolutions,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
122,0.6681596636772156,0.7120653390884399,0.22226035594940186,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,leaky_relu,adamw,20
123,2.9448413848876953,1.5121642351150513,-2.4278032779693604,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,leaky_relu,adamw,20
124,1.8692476749420166,1.1501128673553467,-1.175809383392334,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,leaky_relu,adamw,20
125,7.255828380584717,2.5535666942596436,-7.445803642272949,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,leaky_relu,adamw,20
126,5.334791660308838,2.160215139389038,-5.20971155166626,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,leaky_relu,adamw,20
127,0.6926589012145996,0.6347871422767639,0.19374316930770874,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,leaky_relu,rmsprop,20
128,0.9791540503501892,0.8079378008842468,-0.13973796367645264,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,leaky_relu,rmsprop,20
129,0.6951411366462708,0.7188806533813477,0.19085389375686646,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,leaky_relu,rmsprop,20
130,0.8865266442298889,0.7969080805778503,-0.03191936016082764,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,leaky_relu,rmsprop,20
131,0.732009768486023,0.6652742028236389,0.14793872833251953,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,leaky_relu,rmsprop,20
132,0.5681371092796326,0.6333378553390503,0.33868688344955444,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,leaky_relu,rmsprop,20
133,0.6366301774978638,0.6685578227043152,0.2589607834815979,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,leaky_relu,rmsprop,20
134,0.7757126688957214,0.7350372672080994,0.09706836938858032,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,leaky_relu,rmsprop,20
135,0.8137005567550659,0.7540326118469238,0.052850425243377686,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,leaky_relu,rmsprop,20
136,0.7380253672599792,0.6605502367019653,0.1409364938735962,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,leaky_relu,rmsprop,20
137,0.6350821852684021,0.6938743591308594,0.26076263189315796,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,leaky_relu,rmsprop,20
138,0.6276471018791199,0.6494923233985901,0.26941704750061035,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,leaky_relu,rmsprop,20
139,0.6591795086860657,0.6303266286849976,0.23271334171295166,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,leaky_relu,rmsprop,20
140,0.9958739876747131,0.8142760992050171,-0.15919995307922363,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,leaky_relu,rmsprop,20
141,0.6170299649238586,0.6163517236709595,0.2817755341529846,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,leaky_relu,rmsprop,20
142,0.9089794754981995,0.7599982023239136,-0.058054566383361816,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,leaky_relu,rmsprop,20
143,0.8255249857902527,0.7359364628791809,0.03908669948577881,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,leaky_relu,rmsprop,20
144,0.7247440218925476,0.7093181610107422,0.15639597177505493,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,leaky_relu,rmsprop,20
145,0.9932485818862915,0.8630722761154175,-0.15614402294158936,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,tanh,adam,20
146,0.8559666275978088,0.7721558213233948,0.0036525726318359375,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,tanh,adam,20
147,1.0102739334106445,0.8163071870803833,-0.17596149444580078,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,tanh,adam,20
148,0.6605920791625977,0.7039985060691833,0.23106908798217773,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,tanh,adam,20
149,4.156702518463135,1.920305848121643,-3.8384127616882324,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,tanh,adam,20
150,4.473269462585449,2.005218505859375,-4.206897735595703,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,tanh,adam,20
151,0.7669116258621216,0.752271831035614,0.10731279850006104,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,tanh,adam,20
152,0.7811868786811829,0.7770036458969116,0.09069639444351196,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,tanh,adam,20
153,1.6155531406402588,1.0687986612319946,-0.8805081844329834,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,tanh,adam,20
154,2.758087158203125,1.5020734071731567,-2.210420846939087,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,tanh,adam,20
155,5.385415554046631,2.2133800983428955,-5.2686381340026855,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,tanh,adam,20
156,3.9332103729248047,1.8719507455825806,-3.5782675743103027,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,tanh,adam,20
157,0.961807906627655,0.8228598237037659,-0.11954700946807861,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,tanh,adam,20
158,0.6896879076957703,0.7052654027938843,0.1972014307975769,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,tanh,adam,20
159,2.100050687789917,1.2420024871826172,-1.4444646835327148,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,tanh,adam,20
160,3.6687910556793213,1.7883872985839844,-3.2704825401306152,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,tanh,adam,20
161,5.061501979827881,2.1572251319885254,-4.891602039337158,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,tanh,adam,20
162,5.378887176513672,2.1965010166168213,-5.261038780212402,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,tanh,adam,20
163,0.9661369323730469,0.8138207793235779,-0.12458598613739014,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,tanh,sgd,20
164,0.5699791312217712,0.6332921385765076,0.3365427255630493,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,tanh,sgd,20
165,0.8990861177444458,0.8182143568992615,-0.046538710594177246,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,tanh,sgd,20
166,0.7670314908027649,0.757308304309845,0.10717332363128662,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,tanh,sgd,20
167,0.741888165473938,0.7168424725532532,0.13644015789031982,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,tanh,sgd,20
168,0.9736048579216003,0.8399451375007629,-0.1332787275314331,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,tanh,sgd,20
